Barrio,PrecioMedio
Abrantes,28.17
Acacias,45.72
Adelfas,57.20
Aeropuerto,32.17
Aguilas,24.73
Alameda de Osuna,49.54
Almagro,82.39
Almenara,45.31
Almendrales,45.62
Aluche,28.56
Ambroz,21.83
Amposta,20.40
Apostol Santiago,51.53
Arapiles,56.63
Aravaca,52.50
Arcos,39.50
Argüelles,65.96
Atocha,52.06
Bellas Vistas,41.57
Berruguete,46.24
Buenavista,39.95
Butarque,27.17
Campamento,32.32
Canillas,56.86
Canillejas,58.86
Cármenes,37.17
Casa de Campo,68.84
Casco Histórico de Barajas,69.29
Casco Histórico de Vallecas,44.73
Casco Histórico de Vicálvaro,43.65
Castellana,116.20
Castilla,63.12
Castillejos,64.09
Chopera,33.41
Ciudad Jardín,63.89
Ciudad Universitaria,71.97
Colina,48.13
Comillas,34.39
Concepción,40.83
Corralejos,37.60
Cortes,82.51
Costillares,59.44
Cuatro Caminos,59.79
Cuatro Vientos,21.33
Delicias,43.83
El Goloso,35.00
El Plantío,280.00
El Viso,58.62
Embajadores,60.34
Entrevías,38.00
Estrella,37.96
Fontarrón,30.88
Fuente del Berro,53.43
Fuentelareina,127.67
Gaztambide,57.32
Goya,84.93
Guindalera,48.47
Hellín,28.60
Hispanoamérica,87.49
Ibiza,75.42
Imperial,45.43
Jerónimos,103.72
Justicia,78.90
La Paz,37.56
Legazpi,50.16
Lista,66.80
Los Angeles,50.00
Los Rosales,25.11
Lucero,32.53
Marroquina,25.08
Media Legua,53.06
Mirasierra,67.44
Moscardó,39.32
Niño Jesús,65.83
Nueva España,101.60
Numancia,47.88
Opañel,28.14
Orcasitas,18.50
Orcasur,36.00
Pacífico,58.57
Palacio,78.07
Palomas,142.83
Palomeras Bajas,34.36
Palomeras Sureste,24.73
Palos de Moguer,52.87
Pavones,31.50
Peñagrande,55.97
Pilar,42.92
Pinar del Rey,38.40
Piovera,44.75
Portazgo,22.42
Pradolongo,35.07
Prosperidad,60.34
Pueblo Nuevo,39.68
Puerta Bonita,55.24
Puerta del Angel,37.13
Quintana,50.22
Recoletos,137.17
Rejas,49.30
Rios Rosas,72.94
Rosas,17.50
Salvador,40.08
San Andrés,36.10
San Cristobal,27.88
San Diego,34.88
San Fermín,31.44
San Isidro,50.00
San Juan Bautista,58.54
San Pascual,44.11
Santa Eugenia,35.25
Simancas,36.89
Sol,85.59
Timón,44.06
Trafalgar,82.55
Universidad,67.62
Valdeacederas,48.33
Valdefuentes,59.76
Valdemarín,56.50
Valdezarza,29.70
Vallehermoso,69.18
Valverde,45.76
Ventas,33.42
Vinateros,35.88
Vista Alegre,35.45
Zofío,33.67
